bank,year,group,keyword,count,rel_freq,status,colname
CIMB,2023,FTII,alliance chain,0,0.0,pypdf,FTII__alliance chain
CIMB,2023,FTII,artificial intelligence,2,1.721170395869191e-05,pypdf,FTII__artificial intelligence
CIMB,2023,FTII,asymmetric encryption,0,0.0,pypdf,FTII__asymmetric encryption
CIMB,2023,FTII,big data,0,0.0,pypdf,FTII__big data
CIMB,2023,FTII,blockchain,0,0.0,pypdf,FTII__blockchain
CIMB,2023,FTII,cloud architecture,0,0.0,pypdf,FTII__cloud architecture
CIMB,2023,FTII,cloud computing,0,0.0,pypdf,FTII__cloud computing
CIMB,2023,FTII,cloud platform,0,0.0,pypdf,FTII__cloud platform
CIMB,2023,FTII,cloud service,0,0.0,pypdf,FTII__cloud service
CIMB,2023,FTII,data flow,0,0.0,pypdf,FTII__data flow
CIMB,2023,FTII,data mining,0,0.0,pypdf,FTII__data mining
CIMB,2023,FTII,data visualization,0,0.0,pypdf,FTII__data visualization
CIMB,2023,FTII,distributed ledger,0,0.0,pypdf,FTII__distributed ledger
CIMB,2023,FTII,face recognition,0,0.0,pypdf,FTII__face recognition
CIMB,2023,FTII,fingerprint recognition,0,0.0,pypdf,FTII__fingerprint recognition
CIMB,2023,FTII,voice recognition,0,0.0,pypdf,FTII__voice recognition
CIMB,2023,FTOI,anti-fraud,0,0.0,pypdf,FTOI__anti-fraud
CIMB,2023,FTOI,bank app,0,0.0,pypdf,FTOI__bank app
CIMB,2023,FTOI,credit evaluation,0,0.0,pypdf,FTOI__credit evaluation
CIMB,2023,FTOI,customer portrait,0,0.0,pypdf,FTOI__customer portrait
CIMB,2023,FTOI,digital wallet,0,0.0,pypdf,FTOI__digital wallet
CIMB,2023,FTOI,inclusive credit,0,0.0,pypdf,FTOI__inclusive credit
CIMB,2023,FTOI,internet banking,0,0.0,pypdf,FTOI__internet banking
CIMB,2023,FTOI,lending platform,0,0.0,pypdf,FTOI__lending platform
CIMB,2023,FTOI,mobile banking,4,3.442340791738382e-05,pypdf,FTOI__mobile banking
CIMB,2023,FTOI,mobile payment,0,0.0,pypdf,FTOI__mobile payment
CIMB,2023,FTOI,online banking,5,4.302925989672978e-05,pypdf,FTOI__online banking
CIMB,2023,FTOI,online finance,0,0.0,pypdf,FTOI__online finance
CIMB,2023,FTOI,online loan,0,0.0,pypdf,FTOI__online loan
CIMB,2023,FTOI,online payment,0,0.0,pypdf,FTOI__online payment
CIMB,2023,FTOI,predictive model,0,0.0,pypdf,FTOI__predictive model
CIMB,2023,FTOI,qr code payment,0,0.0,pypdf,FTOI__qr code payment
CIMB,2024,FTII,ai,17,0.00013500849759367207,pypdf,FTII__ai
CIMB,2024,FTII,alliance chain,0,0.0,pypdf,FTII__alliance chain
CIMB,2024,FTII,artificial intelligence,8,6.353341063231627e-05,pypdf,FTII__artificial intelligence
CIMB,2024,FTII,asymmetric encryption,0,0.0,pypdf,FTII__asymmetric encryption
CIMB,2024,FTII,big data,2,1.5883352658079067e-05,pypdf,FTII__big data
CIMB,2024,FTII,blockchain,0,0.0,pypdf,FTII__blockchain
CIMB,2024,FTII,cloud architecture,0,0.0,pypdf,FTII__cloud architecture
CIMB,2024,FTII,cloud computing,0,0.0,pypdf,FTII__cloud computing
CIMB,2024,FTII,cloud platform,0,0.0,pypdf,FTII__cloud platform
CIMB,2024,FTII,cloud service,0,0.0,pypdf,FTII__cloud service
CIMB,2024,FTII,data flow,0,0.0,pypdf,FTII__data flow
CIMB,2024,FTII,data mining,0,0.0,pypdf,FTII__data mining
CIMB,2024,FTII,data visualization,0,0.0,pypdf,FTII__data visualization
CIMB,2024,FTII,distributed ledger,0,0.0,pypdf,FTII__distributed ledger
CIMB,2024,FTII,face recognition,0,0.0,pypdf,FTII__face recognition
CIMB,2024,FTII,fingerprint recognition,0,0.0,pypdf,FTII__fingerprint recognition
CIMB,2024,FTII,voice recognition,0,0.0,pypdf,FTII__voice recognition
CIMB,2024,FTOI,anti-fraud,0,0.0,pypdf,FTOI__anti-fraud
CIMB,2024,FTOI,bank app,0,0.0,pypdf,FTOI__bank app
CIMB,2024,FTOI,credit evaluation,0,0.0,pypdf,FTOI__credit evaluation
